ids,Year,Source,Target,Weight
122,2004,힘(N),들(P),8
0,2005,가슴(N),아프(P),11
1,2005,가슴(N),하(P),5
2,2005,걸음(N),가(P),5
3,2005,곁(N),있(P),17
4,2005,곳(N),보(P),5
5,2005,기분(N),좋(P),6
6,2005,기억(N),잊(P),14
7,2005,꼬마아이(N),되(P),5
8,2005,꽃(N),피(P),5
9,2005,꿈(N),꾸(P),6
10,2005,나(N),나(P),15
11,2005,나(N),하(P),5
12,2005,난(N),나(P),19
13,2005,난(N),나나(P),13
14,2005,난(N),하(P),6
15,2005,난난나(N),나(P),7
16,2005,난난나(N),나나(P),7
17,2005,날(N),감(P),9
18,2005,날(N),같(P),5
19,2005,날(N),그립(P),5
20,2005,날(N),되(P),7
21,2005,날(N),만나(P),5
22,2005,날(N),믿(P),9
23,2005,날(N),버리(P),5
24,2005,날(N),살(P),5
25,2005,날(N),알(P),6
26,2005,날(N),없(P),9
27,2005,날(N),있(P),5
28,2005,날(N),잊(P),5
29,2005,날(N),지나(P),6
30,2005,날(N),힘들(P),7
31,2005,노래(N),나(P),6
32,2005,노래(N),하(P),6
33,2005,눈(N),감(P),20
34,2005,눈(N),내리(P),6
35,2005,눈(N),뜨(P),9
36,2005,눈(N),믿(P),9
37,2005,눈(N),보(P),5
38,2005,눈(N),없(P),5
39,2005,눈물(N),가(P),5
40,2005,눈물(N),기다리(P),6
41,2005,눈물(N),나(P),5
42,2005,눈물(N),없(P),6
43,2005,눈물(N),하(P),5
44,2005,눈물(N),흐르(P),5
45,2005,눈물(N),흘리(P),16
46,2005,대신(N),하(P),8
47,2005,때(N),살(P),9
48,2005,때(N),울(P),9
49,2005,때(N),힘들(P),9
50,2005,라(N),랄(P),6
51,2005,래(N),감(P),9
